Common Name,Status
Yellow-bellied/Red-naped x Red-breasted Sapsucker (hybrid),Accidental
Red-naped/Red-breasted Sapsucker,Accidental
sapsucker sp.,Accidental
Lewis's Woodpecker,Accidental
Red-headed Woodpecker,Accidental
Acorn Woodpecker,Rare
Gila Woodpecker,Accidental
Black-backed Woodpecker,Accidental
Downy Woodpecker,Accidental
Nuttall's Woodpecker,Rare
Downy x Nuttall's Woodpecker (hybrid),Accidental
Ladder-backed Woodpecker,Accidental
Nuttall's x Ladder-backed Woodpecker (hybrid),Accidental
Downy/Ladder-backed Woodpecker,Accidental
Nuttall's/Ladder-backed Woodpecker,Accidental
Hairy Woodpecker,Accidental
Downy x Hairy Woodpecker (hybrid),Accidental
Ladder-backed x Hairy Woodpecker (hybrid),Accidental
Downy/Hairy Woodpecker,Accidental
White-headed Woodpecker,Accidental
Hairy x White-headed Woodpecker (hybrid),Accidental
Dryobates sp.,Accidental
Pileated Woodpecker,Accidental
Northern Flicker,Rare
Gilded Flicker,Accidental
Northern x Gilded Flicker (hybrid),Accidental
Northern/Gilded Flicker,Accidental
woodpecker sp.,Accidental
Crested Caracara,Accidental
Yellow-headed Caracara,Accidental
Eurasian Kestrel,Accidental
American Kestrel,Accidental
Merlin,Accidental
Gyrfalcon,Accidental
Peregrine Falcon,Accidental
Prairie Falcon,Accidental
Peregrine x Prairie Falcon (hybrid),Accidental
large falcon sp.,Accidental
small falcon sp.,Accidental
falcon sp.,Accidental
diurnal raptor sp.,Accidental
Cockatiel,Accidental
Sulphur-crested Cockatoo,Accidental
corella/white cockatoo sp.,Accidental
eclectus sp.,Accidental
Rose-ringed Parakeet,Accidental
Psittacula sp.,Accidental
Bourke's Parrot,Accidental
Crimson Rosella,Accidental
Budgerigar,Accidental
Rainbow Lorikeet,Accidental
Rosy-faced Lovebird,Accidental
Fischer's Lovebird,Accidental
Yellow-collared Lovebird,Accidental
Fischer's x Yellow-collared Lovebird (hybrid),Accidental
Domestic lovebird sp. (Domestic type),Accidental
lovebird sp.,Accidental
Gray Parrot,Accidental
Monk Parakeet,Accidental
White-winged Parakeet,Accidental
Yellow-chevroned Parakeet,Accidental
White-winged/Yellow-chevroned Parakeet,Accidental
Brotogeris sp.,Accidental
Scaly-headed Parrot,Accidental
Red-crowned Amazon,Accidental
Lilac-crowned Amazon,Accidental
Red-crowned x Lilac-crowned Amazon (hybrid),Accidental
Red-crowned/Lilac-crowned Amazon,Accidental
Red-lored Amazon,Accidental
Red-crowned x Red-lored Amazon (hybrid),Accidental
Yellow-headed Amazon,Accidental
Yellow-crowned Amazon,Accidental
Turquoise-fronted Amazon,Accidental
White-fronted Amazon,Accidental
amazon sp.,Accidental
Forpus sp.,Accidental
Maroon-bellied Parakeet,Accidental
Black-capped Parakeet,Accidental
Burrowing Parakeet,Accidental
Hyacinth Macaw,Accidental
Orange-fronted Parakeet,Accidental
Nanday Parakeet,Accidental
Sun Parakeet,Accidental
Jandaya Parakeet,Accidental
Military Macaw,Accidental
Scarlet Macaw,Accidental
Red-and-green Macaw,Accidental
large macaw sp.,Accidental
Blue-crowned Parakeet,Accidental
Mitred Parakeet,Accidental
Red-masked Parakeet,Accidental
Mitred/Red-masked Parakeet,Accidental
Psittacara sp.,Accidental
large parakeet sp. (former Aratinga sp.),Accidental
parakeet sp.,Accidental
parrot sp.,Accidental
Small-billed Elaenia,Accidental
Olive-sided Flycatcher,Accidental
Greater Pewee,Accidental
Western Wood-Pewee,Accidental
Eastern Wood-Pewee,Accidental
Western/Eastern Wood-Pewee,Accidental
pewee sp. (Contopus sp.),Accidental
Yellow-bellied Flycatcher,Accidental
Alder Flycatcher,Accidental
Willow Flycatcher,Accidental
Alder/Willow Flycatcher (Traill's Flycatcher),Accidental
Least Flycatcher,Accidental
Hammond's Flycatcher,Accidental
Gray Flycatcher,Accidental
Dusky Flycatcher,Accidental
Hammond's/Dusky Flycatcher,Accidental
Gray/Dusky Flycatcher,Accidental
Western Flycatcher,Accidental
Buff-breasted Flycatcher,Accidental
Empidonax sp.,Accidental
Black Phoebe,Rare
Eastern Phoebe,Accidental
Black x Eastern Phoebe (hybrid),Accidental
Black/Eastern Phoebe,Accidental
Say's Phoebe,Accidental
phoebe sp.,Accidental
Vermilion Flycatcher,Accidental
Dusky-capped Flycatcher,Accidental
Ash-throated Flycatcher,Accidental
Great Crested Flycatcher,Accidental
Brown-crested Flycatcher,Accidental
Myiarchus sp.,Accidental
Sulphur-bellied Flycatcher,Accidental
Tropical Kingbird,Accidental
Couch's Kingbird,Accidental
Tropical/Couch's Kingbird,Accidental
Cassin's Kingbird,Accidental
Thick-billed Kingbird,Accidental
Western Kingbird,Accidental
Cassin's/Western Kingbird,Accidental
yellow-bellied kingbird sp.,Accidental
Eastern Kingbird,Accidental
Scissor-tailed Flycatcher,Accidental
Western Kingbird x Scissor-tailed Flycatcher (hybrid),Accidental
Fork-tailed Flycatcher,Accidental
Tyrannus sp.,Accidental
new world flycatcher sp.,Accidental
White-eyed Vireo,Accidental
Bell's Vireo,Accidental
Gray Vireo,Accidental
Hutton's Vireo,Accidental
Yellow-throated Vireo,Accidental
Cassin's Vireo,Accidental
Blue-headed Vireo,Accidental
Cassin's/Blue-headed Vireo,Accidental
Plumbeous Vireo,Accidental
Cassin's/Plumbeous Vireo,Accidental
solitary vireo sp.,Accidental
Philadelphia Vireo,Accidental
Warbling Vireo,Accidental
Philadelphia/Warbling Vireo,Accidental
Red-eyed Vireo,Accidental
Philadelphia/Red-eyed Vireo,Accidental
Yellow-green Vireo,Accidental
Red-eyed/Yellow-green Vireo,Accidental
vireo sp. (Red-eyed Vireo complex),Accidental
vireo sp.,Accidental
Loggerhead Shrike,Accidental
Northern Shrike,Accidental
Loggerhead/Northern Shrike,Accidental
shrike sp.,Accidental
Canada Jay,Accidental
Black-throated Magpie-Jay,Accidental
White-throated Magpie-Jay,Accidental
Green Jay,Accidental
Pinyon Jay,Accidental
Steller's Jay,Rare
Blue Jay,Accidental
Island Scrub-Jay,Accidental
California Scrub-Jay,Rare
Woodhouse's Scrub-Jay,Accidental
California/Woodhouse's Scrub-Jay,Accidental
jay sp.,Accidental
Oriental/Eurasian Magpie,Accidental
Black-billed Magpie,Accidental
Yellow-billed Magpie,Accidental
Pica sp.,Absent
Clark's Nutcracker,Accidental
American Crow,Rare
Pied Crow,Accidental
crow sp.,Accidental
Common Raven,Rare
raven sp.,Accidental
crow/raven sp.,Accidental
corvid sp.,Accidental
Black-capped Chickadee,Accidental
Mountain Chickadee,Accidental
Chestnut-backed Chickadee,Rare
chickadee sp.,Accidental
Oak Titmouse,Rare
Juniper Titmouse,Accidental
Oak/Juniper Titmouse (Plain Titmouse),Accidental
Asian Tit,Accidental
Parus sp.,Accidental
parid sp.,Accidental
Verdin,Accidental
Eurasian Skylark,Accidental
Horned Lark,Accidental
Bank Swallow,Accidental
Tree Swallow,Accidental
Violet-green Swallow,Accidental
