Common Name,Status
Western Flycatcher,Accidental
Buff-breasted Flycatcher,Accidental
Empidonax sp.,Accidental
Black Phoebe,Rare
Eastern Phoebe,Accidental
Black/Eastern Phoebe,Accidental
Say's Phoebe,Rare
phoebe sp.,Accidental
Vermilion Flycatcher,Rare
Dusky-capped Flycatcher,Accidental
Ash-throated Flycatcher,Accidental
Nutting's Flycatcher,Accidental
Ash-throated/Nutting's Flycatcher,Accidental
Great Crested Flycatcher,Accidental
Brown-crested Flycatcher,Accidental
Myiarchus sp.,Accidental
Sulphur-bellied Flycatcher,Accidental
Tropical Kingbird,Accidental
Couch's Kingbird,Accidental
Tropical/Couch's Kingbird,Accidental
Cassin's Kingbird,Accidental
Thick-billed Kingbird,Accidental
Western Kingbird,Accidental
Cassin's/Western Kingbird,Accidental
yellow-bellied kingbird sp.,Accidental
Eastern Kingbird,Accidental
Scissor-tailed Flycatcher,Accidental
Tyrannus sp.,Accidental
new world flycatcher sp.,Accidental
White-eyed Vireo,Accidental
Bell's Vireo,Accidental
Gray Vireo,Accidental
Hutton's Vireo,Accidental
Yellow-throated Vireo,Accidental
Cassin's Vireo,Accidental
Blue-headed Vireo,Accidental
Cassin's/Blue-headed Vireo,Accidental
Plumbeous Vireo,Accidental
Cassin's/Plumbeous Vireo,Accidental
solitary vireo sp.,Accidental
Philadelphia Vireo,Accidental
Warbling Vireo,Accidental
Philadelphia/Warbling Vireo,Accidental
Red-eyed Vireo,Accidental
Philadelphia/Red-eyed Vireo,Accidental
Yellow-green Vireo,Accidental
vireo sp.,Accidental
Loggerhead Shrike,Accidental
Northern Shrike,Accidental
Loggerhead/Northern Shrike,Accidental
shrike sp.,Accidental
Canada Jay,Accidental
Black-throated Magpie-Jay,Accidental
White-throated Magpie-Jay,Accidental
Black-throated/White-throated Magpie-Jay,Accidental
Pinyon Jay,Accidental
Steller's Jay,Accidental
California Scrub-Jay,Accidental
Woodhouse's Scrub-Jay,Accidental
Mexican Jay,Accidental
Aphelocoma sp.,Accidental
jay sp.,Accidental
Eurasian Magpie,Accidental
Black-billed Magpie,Accidental
Clark's Nutcracker,Accidental
American Crow,Accidental
Chihuahuan Raven,Accidental
Common Raven,Rare
raven sp.,Accidental
crow/raven sp.,Accidental
corvid sp.,Accidental
Black-capped Chickadee,Accidental
Mountain Chickadee,Accidental
Mexican Chickadee,Accidental
Mountain x Mexican Chickadee (hybrid),Accidental
chickadee sp.,Accidental
Bridled Titmouse,Accidental
Juniper Titmouse,Accidental
Bridled/Juniper Titmouse,Accidental
parid sp.,Accidental
Verdin,Rare
Horned Lark,Accidental
Bank Swallow,Accidental
Tree Swallow,Accidental
Violet-green Swallow,Accidental
Tree/Violet-green Swallow,Accidental
Tachycineta sp.,Accidental
Purple Martin,Accidental
Northern Rough-winged Swallow,Accidental
Barn Swallow,Accidental
Cliff Swallow,Accidental
Cave Swallow,Accidental
Cliff/Cave Swallow,Accidental
swallow sp.,Accidental
Bushtit,Accidental
Ruby-crowned Kinglet,Rare
Golden-crowned Kinglet,Accidental
Ruby-crowned/Golden-crowned Kinglet,Accidental
White-breasted Nuthatch,Rare
Pygmy Nuthatch,Accidental
Red-breasted Nuthatch,Accidental
nuthatch sp.,Accidental
Brown Creeper,Accidental
Blue-gray Gnatcatcher,Accidental
Black-tailed Gnatcatcher,Accidental
Black-capped Gnatcatcher,Accidental
gnatcatcher sp.,Accidental
Rock Wren,Accidental
Canyon Wren,Accidental
Northern House Wren,Accidental
Pacific Wren,Accidental
Winter Wren,Accidental
Pacific/Winter Wren,Accidental
Marsh Wren,Accidental
Carolina Wren,Accidental
Bewick's Wren,Rare
Cactus Wren,Rare
Sinaloa Wren,Accidental
wren sp.,Accidental
American Dipper,Accidental
European Starling,Rare
Lesser/Greater Blue-eared Starling,Accidental
Blue Mockingbird,Accidental
Gray Catbird,Accidental
Curve-billed Thrasher,Rare
Brown Thrasher,Accidental
Bendire's Thrasher,Accidental
Curve-billed/Bendire's Thrasher,Accidental
LeConte's Thrasher,Accidental
Crissal Thrasher,Accidental
Toxostoma sp.,Accidental
Sage Thrasher,Accidental
Northern Mockingbird,Rare
mimid sp.,Accidental
Eastern Bluebird,Accidental
Western Bluebird,Accidental
