Common Name,Status
Eastern Bluebird,Accidental
Western Bluebird,Accidental
Mountain Bluebird,Accidental
bluebird sp.,Accidental
Townsend's Solitaire,Accidental
Varied Thrush,Accidental
Veery,Accidental
Swainson's Thrush,Accidental
Hermit Thrush,Accidental
Catharus sp.,Accidental
Song Thrush,Accidental
American Robin,Rare
Varied Thrush/American Robin,Accidental
thrush sp.,Accidental
Red-flanked Bluetail,Accidental
Northern Wheatear,Accidental
Bohemian Waxwing,Accidental
Cedar Waxwing,Rare
Bohemian/Cedar Waxwing,Accidental
Phainopepla,Accidental
Village Weaver,Accidental
Northern Red Bishop,Accidental
Zebra Finch,Accidental
Black-and-white Mannikin,Accidental
Siberian Accentor,Accidental
House Sparrow,Rare
Eurasian Tree Sparrow,Accidental
House x Eurasian Tree Sparrow (hybrid),Accidental
Passer sp.,Accidental
Gray Wagtail,Accidental
White Wagtail,Accidental
wagtail sp.,Accidental
American Pipit,Accidental
pipit sp.,Accidental
Brambling,Accidental
Evening Grosbeak,Accidental
Pine Grosbeak,Accidental
Gray-crowned Rosy-Finch,Accidental
rosy-finch sp.,Accidental
House Finch,Rare
Purple Finch,Accidental
House/Purple Finch,Accidental
Cassin's Finch,Accidental
Purple/Cassin's Finch,Accidental
Haemorhous sp.,Accidental
Redpoll,Accidental
Red Crossbill,Accidental
Red/Cassia Crossbill,Accidental
White-winged Crossbill,Accidental
crossbill sp.,Accidental
European Goldfinch,Accidental
Pine Siskin,Rare
Lesser Goldfinch,Accidental
Lawrence's Goldfinch,Accidental
American Goldfinch,Rare
new world goldfinch sp.,Accidental
Spinus sp.,Accidental
Acanthis/Spinus sp.,Accidental
finch sp.,Accidental
Lapland Longspur,Accidental
Chestnut-collared Longspur,Accidental
Smith's Longspur,Accidental
longspur sp.,Accidental
Snow Bunting,Accidental
Snow/McKay's Bunting,Accidental
Little Bunting,Accidental
Rustic Bunting,Accidental
Cassin's Sparrow,Accidental
Grasshopper Sparrow,Accidental
Chipping Sparrow,Accidental
Clay-colored Sparrow,Accidental
Field Sparrow,Accidental
Brewer's Sparrow,Accidental
Clay-colored/Brewer's Sparrow,Accidental
Spizella sp.,Accidental
Black-throated Sparrow,Accidental
Lark Sparrow,Accidental
Lark Bunting,Accidental
American Tree Sparrow,Accidental
Fox Sparrow,Accidental
Dark-eyed Junco,Rare
White-crowned Sparrow,Rare
Golden-crowned Sparrow,Rare
White-crowned x Golden-crowned Sparrow (hybrid),Accidental
Harris's Sparrow,Accidental
White-crowned x Harris's Sparrow (hybrid),Accidental
White-throated Sparrow,Accidental
White-crowned x White-throated Sparrow (hybrid),Accidental
Golden-crowned x White-throated Sparrow (hybrid),Accidental
