Common Name,Status
Bell's Vireo,Accidental
Hutton's Vireo,Accidental
Yellow-throated Vireo,Accidental
Cassin's Vireo,Accidental
Blue-headed Vireo,Accidental
Plumbeous Vireo,Accidental
Cassin's/Plumbeous Vireo,Accidental
solitary vireo sp.,Accidental
Philadelphia Vireo,Accidental
Warbling Vireo,Accidental
Philadelphia/Warbling Vireo,Accidental
Red-eyed Vireo,Accidental
vireo sp.,Accidental
Loggerhead Shrike,Accidental
Northern Shrike,Accidental
Loggerhead/Northern Shrike,Accidental
shrike sp.,Accidental
Canada Jay,Accidental
Pinyon Jay,Accidental
Steller's Jay,Rare
Blue Jay,Accidental
California Scrub-Jay,Rare
California/Woodhouse's Scrub-Jay,Accidental
jay sp.,Accidental
Black-billed Magpie,Accidental
Clark's Nutcracker,Accidental
American Crow,Rare
crow sp.,Accidental
Common Raven,Rare
crow/raven sp.,Accidental
corvid sp.,Accidental
Black-capped Chickadee,Rare
Mountain Chickadee,Accidental
Black-capped x Mountain Chickadee (hybrid),Accidental
Black-capped/Mountain Chickadee,Accidental
Chestnut-backed Chickadee,Rare
chickadee sp.,Accidental
Oak Titmouse,Accidental
Juniper Titmouse,Accidental
Oak/Juniper Titmouse (Plain Titmouse),Accidental
Eurasian Skylark,Accidental
Horned Lark,Accidental
Bank Swallow,Accidental
Tree Swallow,Accidental
Violet-green Swallow,Accidental
Tree/Violet-green Swallow,Accidental
Tachycineta sp.,Accidental
Purple Martin,Accidental
Northern Rough-winged Swallow,Accidental
Barn Swallow,Rare
Cliff Swallow,Accidental
Barn x Cliff Swallow (hybrid),Accidental
Cave Swallow,Accidental
Cliff/Cave Swallow,Accidental
swallow sp.,Accidental
Dusky Warbler,Accidental
Arctic/Kamchatka Leaf Warbler,Accidental
Japanese Leaf/Arctic/Kamchatka Leaf Warbler,Accidental
Phylloscopus sp.,Accidental
Bushtit,Accidental
Wrentit,Accidental
white-eye sp.,Accidental
Ruby-crowned Kinglet,Rare
Golden-crowned Kinglet,Accidental
Ruby-crowned/Golden-crowned Kinglet,Accidental
White-breasted Nuthatch,Accidental
Pygmy Nuthatch,Accidental
Red-breasted Nuthatch,Rare
nuthatch sp.,Accidental
Brown Creeper,Accidental
Blue-gray Gnatcatcher,Accidental
Rock Wren,Accidental
Canyon Wren,Accidental
Northern House Wren,Accidental
Pacific Wren,Accidental
Winter Wren,Accidental
Pacific/Winter Wren,Accidental
Sedge Wren,Accidental
Marsh Wren,Accidental
Bewick's Wren,Rare
wren sp.,Accidental
American Dipper,Accidental
European Starling,Rare
Common Myna,Accidental
Gray Catbird,Accidental
Brown Thrasher,Accidental
California Thrasher,Accidental
Sage Thrasher,Accidental
Northern Mockingbird,Accidental
Eastern Bluebird,Accidental
Western Bluebird,Accidental
Mountain Bluebird,Accidental
